HK/   AAT og VLT:
Raw weights
                                                                                
8182 data points:
0001-5169  (5169 data points)   AAT/UCLES i Australien
5179-8182  (3013 data points)   VLT/UVES (ESO) i Chile
                                                                                
    Time (sec)    Data(m/s)    sigma(m/s)
-------------------------------------------
      451034.      1.25444      1.64922
      451057.    -0.805800      2.02957
      451081.     -1.04377      1.47953
      451104.    -0.922990      1.46091
      451128.     -2.82555      1.54554
      451174.      5.46370      3.34567
      451198.      1.25509      1.47053
      451221.   -0.0537500      1.77873
      451244.    0.0403600      1.43082
      451268.      2.87759      1.74334
      451291.     -1.59959      1.85090
      451315.      1.72005      1.57151
      451338.      2.39636      1.82636
      451362.    -0.869350      1.77600
      451385.     -3.06915      1.47754
      451409.     0.139380      1.61248
      451432.     -2.18033      1.57087
      451503.     -3.52762      1.63052
      451527.     -3.22103      1.81346
      451550.      2.03713      1.67290
      451597.      4.60894      2.34396
      451621.      4.60428      1.56861
      451644.      1.67030      1.55399
      451668.      3.74438      1.55762
      451691.      2.22296      1.43629
      451715.      5.77427      1.69761
      451738.      1.47448      1.49026
      451762.      4.61509      2.23487
      451809.      1.67139      1.51689
      451832.      1.87274      1.55199
      451856.     -1.71070      1.54276
      451879.     -2.75564      1.38685
      451903.     0.811610      1.55101
      451926.    -0.908040      1.53975
      451950.     -3.10477      1.72171
      451973.     -1.86258      2.50860
      451996.     -3.23790      3.10649
      452019.    -0.103110      1.68613
      452043.    -0.629830      1.43837
      452066.      1.91274      2.47371
      452090.      1.43281      2.03269
      452113.    -0.146260      1.64617
      452137.      1.47792      1.37476
      452160.      2.58332      1.53134
      452183.      1.88583      1.42011
      452207.     0.540250      1.76125
      452230.    -0.322230      1.64091
      452253.    -0.126060      1.20420
      452300.     -1.97052      1.73520
      452324.     -2.18909      2.33115
      452347.    0.0402700      1.45037
      452371.      1.70029      1.47496
      452394.     0.818750      1.35069
      452418.     0.592280      1.44539
      452441.     -1.32664      1.49450
      452464.     0.729680      1.53263
      452488.     -1.04335      1.49319
      452511.     -1.03057      1.44623
      452535.      2.19193      1.39823
      452558.    0.0345000      1.31867
      452582.      1.86585      1.47616
      452605.      2.22398      1.46375
      452628.     -1.58898      1.56287
      452651.      2.18098      3.09288
      452698.     -2.13457      1.87247
      452722.    -0.279790      1.35899
      452745.     -3.20828      1.62642
      452769.     -3.85033      1.49360
      452792.     -2.65550      1.45568
      452816.     -1.25600      1.37076
      452839.     0.550080      1.46291
      452862.     -1.27146      1.49373
      452886.      1.46868      1.52916
      452910.     -2.07426      2.33126
      452933.     -3.20257      1.81061
      452956.     -3.30908      1.36454
      452980.    -0.227320      1.48522
      453003.    -0.958300      1.36679
      453027.      2.09432      1.54718
      453050.      1.17363      1.46969
      453074.      1.76757      1.36025
      453097.   -0.0106300      1.40882
      453121.     -2.12680      1.54674
      453145.     0.352680      1.67669
      453169.     0.866060      1.37886
      453192.      5.72999      2.67338
      453216.     -2.45013      1.92776
      453239.     -1.90971      1.54859
      453263.    -0.507820      1.38908
      453286.    -0.907710      1.24398
      453309.    -0.541580      1.49581
      453333.      1.27669      1.45898
      453357.     -3.81550      1.57498
      453380.     -3.00573      1.47300
      453403.     -2.22491      1.37248
      453427.      3.07976      1.73192
      453450.     -1.02646      1.83598
      453474.     -3.24647      1.57281
      453498.      4.28380      1.78086
      453521.     0.746490      1.84591
      453545.     0.686600      1.35173
      453569.    0.0626300      1.45040
      453592.     0.638170      1.62358
      453616.    -0.884800      1.65906
      453640.      2.34195      1.72123
      453663.     0.387770      1.62225
      453687.      1.63970      1.43578
      453710.    0.0776600      1.41368
      453734.    -0.845180      1.52758
      453757.     -2.88031      1.63864
      453780.     0.142960      1.65091
      453803.      1.57577      1.77648
      453827.     -2.29050      1.63573
      453850.    -0.577500      1.57796
      453873.     0.173330      1.47575
      453896.     -1.33484      1.69803
      453967.    -0.990140      2.70562
      453991.      3.91090      1.86900
      454014.      3.08470      1.37630
      454037.      1.84020      1.57706
      454061.      2.31225      1.52053
      454084.      3.63414      1.44037
      454109.    -0.632770      1.41658
      454132.    -0.387320      1.41811
      454156.     0.782940      1.43476
      454179.     -1.17980      1.54323
      454203.     0.234070      1.34273
      454321.     0.744780      2.10241
      454344.     -2.18112      1.38968
      454368.      3.73037      1.77934
      454391.     -3.62687      1.62500
      454415.      5.22356      2.04906
      454438.      1.12711      1.59845
      454462.     -1.89058      1.72806
      454486.      1.08109      1.72962
      454510.      1.17849      1.63689
      454533.   0.00865000      1.53539
      454556.     -1.06166      1.49793
      454580.      1.32746      1.58819
      454658.     -1.18954      1.49618
      454682.     -2.46115      1.51196
      454706.    -0.642300      1.52908
      454730.     -2.58319      1.26903
      454753.     -4.75737      2.10541
      454800.     -4.22979      1.46097
      454824.     -4.29681      1.40501
      454847.     0.238550      1.50303
      454870.    -0.227110      1.48408
      454894.    -0.164690      1.47678
      454917.     0.862400      1.78586
      454940.     0.762970      1.62114
      454964.    -0.683780      1.53248
      454987.     -1.61504      1.70788
      455011.      2.53656      1.46001
      455034.      2.88125      1.55628
      455058.      3.06877      1.62896
      455081.     0.107880      1.40118
      455105.      2.64955      1.59717
      455152.     0.955360      2.46180
      455175.    -0.887490      2.00235
      455200.     0.216540      1.43855
      455223.     0.774920      1.47968
      455247.    -0.533860      1.28990
      455270.     -1.08758      1.36524
      455293.     -2.21580      1.52395
      455317.    -0.257590      1.63682
      455340.     -3.51676      1.62477
      455364.      1.20260      1.39712
      455388.      1.06060      1.54823
      455411.      1.73687      1.61183
      455434.      2.85010      1.48466
      455458.     0.464250      2.57645
      455481.    -0.173490      1.84469
      455505.      2.80146      1.54290
      455528.    -0.566670      1.36290
      455552.      1.74942      1.67534
      455576.      2.91492      1.58002
      455600.     -1.53087      1.84942
      455624.     0.343590      1.52265
      455648.     -1.15921      1.38104
      455671.      1.43982      1.45500
      455696.     0.369410      1.77383
      455720.      2.43698      1.62470
      455744.     -3.27843      1.76056
      455767.     0.878090      1.57031
      455791.      2.28846      1.47055
      455838.      2.50439      2.33644
      455862.      1.14489      1.40089
      455885.      1.84296      1.38204
      455909.      1.64631      1.36221
      455933.    -0.513730      1.48606
      455956.      1.58116      1.51769
      455979.    -0.850540      1.55430
      456002.     0.123210      1.44006
      456026.     -1.52846      1.34348
      456050.    -0.444420      1.47508
      456074.     -1.40611      1.84357
      456097.     -2.75850      2.27477
      456120.    -0.475530      1.42154
      456144.     -3.24561      2.11187
      456169.      2.71599      2.68404
      456216.      1.02302      3.31398
      456240.    -0.493010      1.50718
      456263.    -0.227170      1.50125
      456287.    -0.961990      1.64989
      456310.    -0.418510      1.88524
      456334.    -0.497410      2.37475
      456357.     0.445690      1.77828
      456381.     -2.11399      1.44742
      456404.    -0.176630      2.15554
      456427.      1.71516      1.89492
      456451.      1.29483      2.57508
      456474.     0.232060      1.90062
      456497.     -2.82865      1.84006
      456544.     -2.66458      1.81235
      456568.     -3.18813      1.82485
      456591.     -3.03626      1.84921
      456615.     -2.16392      1.60535
      456639.      2.79218      1.80318
      456662.     -1.69567      1.40274
      456686.     0.436320      1.66366
      456709.     0.826420      1.40173
      456733.      2.84916      1.80415
      456756.   -0.0749900      2.01372
      456780.     -3.03698      2.00651
      456803.     -2.30981      1.74841
      456826.     -3.63862      1.91378
      456850.     -3.41703      2.42909
      456873.     0.892580      2.29327
      456896.     0.823760      2.42365
      456920.     0.990370      2.07901
      456944.    -0.401790      2.09758
      456967.     -3.17219      1.84637
      456991.     -1.79523      1.64548
      457015.     -1.81006      1.76519
      457038.    -0.420560      1.75195
      457061.   -0.0597500      1.80074
      457085.      1.44388      1.77137
      457108.    -0.271940      1.91220
      457132.    -0.370750      1.74133
      457156.      4.79914      1.75006
      457179.     0.516500      1.87758
      457203.      5.84161      3.01449
      457226.      1.61001      2.04443
      457274.    -0.908990      1.82222
      457297.     -1.90076      1.90933
      457321.      1.79823      1.74534
      457346.     -3.20618      1.88013
      457372.    -0.257570      2.28162
      457398.     -3.25728      1.89006
      457423.     -2.25638      1.90298
      457450.     -1.31431      1.81376
      457476.    -0.626770      1.69825
      457502.    -0.670230      2.15140
      457530.      4.16798      1.90810
      457557.      2.68515      1.78954
      457611.     -1.14937      2.37995
      457664.    0.0280100      2.42786
      457689.     -1.34124      1.69000
      457716.     -4.19282      1.89720
      457742.     -4.12385      2.19596
      457768.     -1.31057      2.10527
      457794.     -2.16579      1.70308
      457820.     -3.16562      1.81172
      457952.      1.80412      2.06768
      457979.     -2.68818      2.16261
      458005.     0.836090      2.11114
      458031.     -1.47179      2.05470
      458057.     -1.37556      2.32638
      458083.     -3.11020      2.68076
      458134.    -0.546810      3.03178
      458215.     -3.11721      2.02125
      458270.     -8.02590      2.79846
      458296.     -1.68974      2.40297
      458322.     -3.42419      2.05187
      458400.     -3.62554      2.61327
      458426.      1.35977      1.99780
      458453.      2.10325      1.94483
      458479.     -1.02622      1.94101
      458505.    0.0366200      2.04094
      458608.     -6.88904      2.94525
      458687.    -0.181630      2.89737
      458713.     -1.03045      2.40051
      458739.     0.549080      2.28511
      458765.      2.10979      2.67756
      470235.     0.325360     0.822222
      470266.      2.13348     0.863275
      470293.   0.00743000      1.00257
      470321.      1.93872     0.831073
      470413.    -0.274850     0.704853
      470443.    0.0368600     0.650834
      470472.    -0.717060     0.694821
      470501.    -0.583010     0.654431
      470531.     -1.25495     0.676135
      470559.     0.161110     0.717763
      470589.    -0.431370     0.639953
      470617.     0.918970     0.637423
      470646.     0.984190     0.629528
      470676.      1.05055     0.682551
      470708.      1.17752     0.670933
      470737.      1.67337     0.653566
      470767.      2.21811     0.689707
      470795.      2.33793     0.745877
      470824.     0.384530     0.653338
      470854.     0.376130     0.671491
      470882.    -0.141940     0.666676
      470913.     -1.76430     0.702396
      470941.     -2.07066     0.715388
      470971.    -0.886230     0.664044
      471003.     -1.25139     0.631626
      471035.     -1.56798     0.769933
      471065.    -0.330230     0.732886
      471095.     0.698330     0.669139
      471124.      1.96801     0.672559
      471155.      1.82476     0.641851
      471183.      1.86935     0.642886
      471213.      1.43695     0.633132
      471243.      1.39857     0.643651
      471274.    -0.591650     0.664140
      471306.    -0.866990     0.600750
      471336.    -0.529830     0.577544
      471366.     -1.62299     0.608944
      471395.     -1.46010     0.635150
      471425.     -1.78323     0.633951
      471453.    -0.871890     0.658024
      471483.     0.159640     0.670522
      471512.     0.372170     0.627179
      471543.    -0.399770     0.633466
      471572.    -0.748210     0.632383
      471606.   -0.0742000     0.641524
      471636.     0.811350     0.644619
      471666.    -0.416360     0.637113
      471695.    -0.703950     0.596306
      471724.     0.390650     0.621910
      471752.    -0.689170     0.617678
      471779.    -0.358990     0.628020
      471881.     -1.00675     0.596554
      471910.     -1.77268     0.691651
      471938.  -0.00216000     0.702642
      471966.     -1.42135     0.646913
      471994.    -0.829610     0.684454
      472022.    -0.431030     0.615618
      472053.    -0.108730     0.623698
      472080.    -0.826110     0.618915
      472109.    -0.557310     0.615263
      472136.     0.215730     0.619061
      472165.     -1.03031     0.622999
      472196.     0.579180     0.657532
      472224.    -0.379230     0.635143
      472254.    -0.528070     0.605963
      472280.   -0.0825200     0.624350
      472310.    -0.671720     0.603509
      472338.    -0.732760     0.608508
      472366.     -1.00903     0.630802
      472393.    -0.434830     0.646932
      472422.     0.245490     0.676733
      472450.    -0.953190     0.608849
      472478.    -0.490590     0.614248
      472511.    -0.867080     0.614884
      472539.     -1.32409     0.603631
      472567.     -1.72545     0.668121
      472594.     -1.07973     0.602424
      472623.     0.173310     0.637061
      472650.     0.484640     0.579641
      472678.     0.835980     0.614329
      472705.     0.467550     0.632406
      472734.     0.906690     0.641980
      472764.     0.608290     0.679417
      472794.    -0.224940     0.683519
      472823.    -0.228690     0.672545
      472851.    -0.469700     0.642364
      472879.     -1.84662     0.638043
      472907.     -2.49570     0.636399
      472936.    -0.925600     0.687396
      472962.    -0.194670     0.607089
      472990.    -0.273950     0.615259
      473020.     0.464860     0.656347
      473048.    -0.351570     0.648661
      473077.    -0.335020     0.663394
      473107.     0.953120     0.639416
      473136.    -0.514610     0.620065
      473163.    -0.448270     0.630441
      473191.    -0.826060     0.638242
      473220.    -0.833900     0.628089
      473248.     -2.00358     0.572324
      473274.    -0.948610     0.623791
      473302.    -0.588740     0.646590
      473330. -0.000360000     0.668539
      473358.    -0.893680     0.609423
      473388.    -0.750910     0.568272
      473415.    -0.767160     0.611588
      473445.     0.940770     0.590641
      473474.    -0.407330     0.627827
      473500.    -0.682860     0.618589
      473528.     0.334940     0.602683
      473555.     0.521470     0.638587
      473584.    -0.964540     0.601238
      473610.     -1.01432     0.607428
      473638.     -1.39786     0.585451
      473668.     -1.25947     0.651182
      473696.    -0.933190     0.597322
      473726.    -0.610560     0.621992
      473755.    -0.835220     0.584242
      473782.    -0.764360     0.591568
      473809.    -0.362100     0.591160
      473837.    -0.480000     0.577150
      473864.    -0.518670     0.564761
      473893.    -0.876500     0.581860
      473922.    -0.551910     0.554186
      473950.     -2.24216     0.603177
      473978.     -1.06270     0.596566
      474008.    -0.532540     0.623346
      474036.    -0.623990     0.605603
      474065.     0.888540     0.623246
      474092.     0.415740     0.610578
      474119.  -0.00774000     0.645128
      474147.  -0.00564000     0.635462
      474175.     0.928160     0.591597
      474202.      1.10102     0.621409
      474230.   -0.0555800     0.625220
      474258.   -0.0760100     0.614356
      474286.    -0.571850     0.602901
      474314.     0.172120     0.577386
      474342.    -0.336360     0.630101
      474370.     -1.03610     0.572001
      474398.    -0.621820     0.627567
      474426.    -0.125060     0.606332
      474455.     0.693860     0.563701
      474482.     0.858090     0.588497
      474509.     0.951970     0.574259
      474537.    -0.359070     0.598390
      474563.   -0.0446200     0.551593
      474592.     0.581990     0.570294
      474620.    -0.626000     0.561436
      474648.     0.341440     0.593411
      474676.      1.49408     0.591126
      474704.      1.95121     0.590043
      474732.      1.32856     0.600015
      474760.      1.85709     0.606959
      474788.      1.54517     0.589401
      474816.     0.903460     0.622744
      474846.     0.972050     0.577128
      474874.    -0.823050     0.577052
      474905.    -0.784920     0.584180
      474931.    -0.629510     0.541503
      474960.    -0.448100     0.589994
      474988.     0.134350     0.601007
      475016.    -0.478070     0.576463
      475044.     0.459920     0.643617
      475072.     0.940900     0.613892
      475100.     0.565790     0.557007
      475128.     0.661000     0.554428
      475156.      1.30520     0.541125
      475183.    -0.695940     0.547089
      475212.    -0.228840     0.546008
      475239.     -1.96261     0.565806
      475267.     -2.50196     0.687663
      475295.    -0.650800     0.606251
      475323.     0.407890     0.609289
      475350.    -0.211920     0.585327
      475378.     0.865020     0.642757
      475408.      1.45959     0.600339
      475436.      2.52011     0.621487
      475464.      2.92104     0.639294
      475490.      1.65083     0.643147
      475518.     0.192510     0.630408
      475546.     0.191410     0.586717
      475574.     -1.02925     0.676652
      475603.     -1.31977     0.667238
      475630.     -1.07370     0.629462
      475660.     -1.88910     0.640126
      475687.     0.323560     0.610676
      475715.    -0.229480     0.626898
      475741.     0.589910     0.615556
      475769.      1.56296     0.652400
      475800.      2.04239     0.610695
      475828.      1.26323     0.598078
      475856.      2.18833     0.625803
      475884.      2.04066     0.573499
      475913.     0.511610     0.602868
      475941.    -0.697170     0.604898
      475969.    -0.616250     0.674732
      475997.    -0.475530     0.604526
      476024.   -0.0721500     0.596201
      476053.    -0.415530     0.616700
      476080.     0.846170     0.616961
      476110.      1.75725     0.619075
      476138.      2.11472     0.650358
      476168.      1.72216     0.601356
      476196.      2.10434     0.636192
      476225.      1.20538     0.616891
      476254.      1.86991     0.644464
      476281.     0.346490     0.635453
      476308.     0.570810     0.615239
      476336.    -0.249560     0.561386
      476364.     -2.18509     0.633627
      476394.     -1.77147     0.598066
      476422.     -2.20332     0.591139
      476450.     -1.50420     0.557405
      476478.     -1.26763     0.596676
      476504.    -0.327800     0.576663
      476532.      1.63446     0.609962
      476563.     0.322260     0.586673
      476592.     0.990620     0.648332
      476619.      1.61389     0.624472
      476647.      1.04694     0.651997
      476676.      1.11071     0.609973
      476706.     0.413940     0.683027
      476736.     -1.36223     0.603662
      476764.     -1.60716     0.600040
      476792.     -1.79548     0.595750
      476821.     -3.41402     0.566526
      476849.     -3.00291     0.578413
      476878.     -2.50451     0.577148
      476906.     -1.96385     0.552811
      476932.     -1.36946     0.695249
      476960.     0.221030     0.603460
      476990.     0.740190     0.591628
      477018.      1.88756     0.635281
      477047.      2.38915     0.608688
      477075.      1.48410     0.617666
      477103.      1.04503     0.581465
      477130.      1.92124     0.662989
      477157.    -0.765040     0.597678
      477185.    -0.542150     0.659483
      477213.     -2.58329     0.619709
      477240.     -3.20143     0.626192
      477267.     -3.61387     0.613604
      477296.     -2.87745     0.600495
      477323.     -3.63217     0.664682
      477350.    -0.610310     0.627958
      477378.     0.352770     0.603551
      477406.     0.807810     0.619982
      477434.      1.34144     0.618028
      477462.      3.09127     0.599096
      477490.      1.56771     0.625473
      477518.      1.69898     0.614009
      477544.      1.15413     0.654693
      477572.      1.32173     0.623217
      477604.     0.389610     0.666840
      477631.     -1.20274     0.624960
      477657.     -2.36148     0.662980
      477685.     -1.77501     0.604765
      477713.     -2.09428     0.602194
      477742.     -1.46868     0.637180
      477768.     -1.63319     0.607838
      477796.    -0.469340     0.623346
      477822.     0.668520     0.598984
      477850.  -0.00138000     0.596819
      477880.      1.91367     0.590558
      477906.     0.579450     0.599495
      477936.      1.13323     0.609548
      477962.     0.312690     0.636430
      477990.     0.836680     0.594571
      478018.     0.470990     0.637110
      478046.   -0.0732100     0.635123
      478073.    -0.272640     0.578186
      478101.    -0.334160     0.634863
      478129.     -1.03679     0.616322
      478156.    -0.590350     0.625802
      478184.    -0.137700     0.608633
      478211.     0.158060     0.641566
      478239.    -0.661080     0.635788
      478267.     0.744470     0.589525
      478295.      1.20599     0.609953
      478324.      1.17480     0.666030
      478350.     0.378880     0.601265
      478378.      1.06439     0.580745
      478406.     0.206120     0.553852
      478436.     0.745030     0.582742
      478464.    -0.166400     0.597613
      478492.   -0.0235200     0.574494
      478520.    -0.317260     0.663593
      478548.      1.30220     0.623149
      478577.    -0.588410     0.619940
      478603.     0.269360     0.628445
      478631.      1.02074     0.594369
      478660.      1.28447     0.567061
      478688.     0.560680     0.551593
      478716.      1.59252     0.575439
      478744.     0.554530     0.566642
      478770.     0.511850     0.601009
      478802.   0.00581000     0.587939
      478858.  -0.00979000     0.647617
      478885.    -0.716810     0.655218
      478914.    -0.217710     0.596109
      478957.    -0.422580     0.636068
      478985.     0.796740     0.625886
      479013.     0.641810     0.597336
      479039.      1.27998     0.619283
      479066.      1.03420     0.675389
      479094.     0.620330     0.673517
      479122.      1.42537     0.684273
      479151.     0.938770     0.640928
      479177.    -0.226770     0.707175
      479204.    -0.619920     0.667169
      479230.     -1.08319     0.701286
      479257.     -1.70847     0.659114
      479283.    -0.362620     0.697433
      479309.     -1.56524     0.658012
      479336.     -2.01776     0.693997
      479363.     -1.28253     0.610413
      479389.     0.609560     0.669134
      479416.     0.634710     0.609063
      479442.      1.45016     0.596688
      479469.     0.675980     0.658812
      479495.     0.450600     0.642476
      479522.     0.305350     0.651923
      479548.      1.59428     0.665559
      479576.     0.619360     0.669502
      479605.      1.72322     0.672504
      479631.     0.145700     0.719390
      479658.    -0.636200     0.655906
      479685.    -0.419450     0.677381
      479712.     -1.87542     0.647792
      479739.     -1.64989     0.632261
      479766.     -3.27227     0.666182
      479794.     -2.78425     0.638729
      479821.     -2.20300     0.622551
      479847.     -1.79010     0.617595
      479874.    -0.631670     0.582875
      479900.    -0.522390     0.600454
      479929.     0.640500     0.574762
      479955.      1.04210     0.601882
      479982.      2.30949     0.635490
      480037.     0.441420     0.643102
      480064.    -0.596790     0.607203
      480091.     -1.10332     0.617936
      480118.     -1.27817     0.821183
      480147.     -2.36603     0.685414
      480174.     -3.86933     0.637402
      480228.     -1.72292     0.624653
      480256.    -0.554500     0.669194
      480283.     -1.22860     0.587050
      480310.    -0.401410     0.688260
      480337.     0.505420     0.634945
      480365.     0.466960     0.615101
      480419.    -0.771480     0.731977
      480448.    -0.546940     0.601025
      480475.    -0.588210     0.636867
      480501.     0.538730     0.589465
      480529.    -0.758670     0.631946
      480556.    -0.261190     0.623638
      480583.    -0.831760     0.569766
      480610.     -1.28621     0.638683
      480638.    -0.338710     0.604776
      480664.     -1.11321     0.590701
      480692.     -2.14748     0.595763
      480720.    -0.546910     0.623779
      480747.    -0.672850     0.608864
      480774.    -0.201240     0.594198
      480801.    -0.306990     0.633434
      480827.      1.15259     0.624003
      480854.      1.58240     0.671581
      480880.    -0.199720     0.573791
      480910.      1.21300     0.533681
      480937.    0.0827700     0.580594
      480964.      1.01069     0.565104
      480990.     0.160010     0.538733
      481018.    -0.608740     0.653379
      481045.     -1.30420     0.612642
      481071.     -1.94890     0.734816
      481098.     -3.49221     0.685953
      481125.     -3.17433     0.641534
      481152.     -3.69142     0.735066
      481178.     -2.70499     0.611821
      481209.     -1.23020     0.578111
      481237.    -0.916040     0.603370
      481264.     0.240130     0.597032
      481294.      1.26147     0.704998
      481323.    -0.169640     0.674354
      481353.     0.803130     0.598755
      481383.     0.314330     0.570472
      481413.      1.48652     0.585848
      481439.     0.796340     0.584272
      481465.    -0.180610     0.552715
      481492.     -1.82203     0.620320
      481519.     -1.33977     0.570340
      481545.     -3.06069     0.736145
      481572.     -2.03399     0.637396
      481599.     -2.77058     0.612703
      481626.     -1.26622     0.613553
      481653.     -1.61279     0.551144
      481679.    -0.281710     0.585211
      481706.     -1.24290     0.646674
      481733.    -0.332200     0.597816
      481759.     0.273240     0.600606
      481814.      1.06565     0.602771
      481841.      1.16495     0.596236
      481868.      1.68430     0.571723
      481893.      1.81118     0.605987
      481920.     0.642980     0.599342
      481947.     0.635400     0.604880
      482001.     0.774300     0.592047
      482027.    -0.477840     0.558425
      482067.    -0.385150     0.686624
      482095.     -2.21217     0.703174
      482121.     -1.95453     0.652213
      482147.     -1.00501     0.702080
      482200.    0.0482600     0.691611
      482226.     0.727070     0.703132
      482252.     0.708190     0.665024
      482278.      1.58270     0.713019
      482303.      2.41493     0.648685
      482330.      2.20838     0.710485
      482356.      1.67576     0.683318
      482383.      1.83052     0.712281
      482434.     0.561380     0.737684
      482460.     0.941070     0.758382
      482486.     -1.11662     0.636654
      482513.    -0.910490     0.657844
      482540.     -2.33599     0.687424
      482566.     -2.47989     0.707259
      482594.     -1.00294     0.681134
      482620.     0.351770     0.712026
      482646.      1.65793     0.682859
      482672.      2.86702     0.715356
      482700.      2.51052     0.638942
      482726.      2.53676     0.735244
      482753.     0.916490     0.711343
      482779.      2.11280     0.700117
      482805.      1.44429     0.679872
      482832.    -0.828480     0.758069
      482884.     -2.21792     0.668123
      482910.     -1.50872     0.690049
      482936.     -1.82300     0.646907
      482963.     0.368300     0.721514
      482989.    0.0948200     0.651303
      483016.    -0.153070     0.706704
      483069.     0.617530     0.685029
      483095.      1.98366     0.663864
      483121.      1.30158     0.725556
      483147.      2.17703     0.716391
      483174.     0.160630     0.645415
      483200.    -0.282690     0.673402
      483226.     0.433080     0.657794
      483253.    -0.814570     0.701113
      483280.    -0.781200     0.685657
      483311.     0.938990     0.676868
      483337.     0.946240     0.659584
      483364.     0.906010     0.683886
      483390.   -0.0353000     0.734746
      483417.      1.23755     0.725770
      483443.      1.17007     0.702887
      483470.    0.0547800     0.711979
      483495.     0.458880     0.725856
      483522.     0.609210     0.729300
      483548.    0.0714800     0.722707
      483575.     0.571790     0.696188
      483604.     0.972620     0.671610
      483631.      2.34170     0.632805
      483657.      2.94722     0.700029
      483684.      1.05851     0.779767
      483711.      2.63179     0.688853
      483737.     0.694780     0.724914
      483763.     0.684550     0.733617
      483790.    0.0252700     0.704473
      483815.     -2.56378     0.781977
      483843.     -2.69023     0.728288
      483868.     -2.34860     0.737069
      483897.     -1.69135     0.705093
      483924.     -2.29895     0.738350
      483951.     -2.85358      1.19311
      483978.     0.395990     0.663251
      484004.      3.20694     0.754048
      484030.      4.95704     0.705327
      484057.      4.78459     0.684633
      484085.      4.02884     0.700538
      484112.      3.19083     0.675101
      484139.      4.68119     0.792072
      484166.      1.16575     0.737946
      484192.     0.631220     0.719802
      484219.     -1.12480     0.787175
      484246.     -3.10005     0.824973
      484272.     -3.43480     0.736619
      484299.    -0.496960     0.807903
      484325.   -0.0868200     0.744086
      484352.    -0.162700     0.757479
      484378.      2.82165     0.888442
      484406.      2.51009     0.764652
      484432.      2.81580     0.751602
      484459.      3.95014     0.736215
      484485.      3.04054     0.730970
      484512.      1.07780     0.730234
      484540.      2.33580     0.726119
      484566.    -0.241620     0.794025
      484594.     0.932710     0.702898
      484620.     0.995580     0.762847
      484646.     -1.17401     0.726494
      484673.    -0.400170     0.735887
      484699.   -0.0716200     0.707141
      484726.    -0.218040     0.712350
      484753.     0.754740     0.730593
      484779.     0.323290     0.703536
      484809.      2.09691     0.781754
      484835.     0.633650     0.745980
      484863.     0.301400     0.740936
      484890.     0.324820     0.734783
      484916.     0.576540     0.792915
      484942.    -0.182800     0.675971
      484968.      1.30841     0.742618
      484996.      1.12220     0.765126
      485023.     0.936960     0.783106
      485050.    -0.736090     0.689322
      485078.     0.142770     0.763782
      485109.     -1.21423     0.723260
      485136.    -0.297820     0.754037
      485162.     0.216270     0.693541
      485189.     0.860120     0.745877
      485216.    -0.948300     0.712095
      485243.      1.16896     0.719070
      485270.   -0.0231700     0.701986
      485296.     -1.25380     0.723934
      485349.      1.19588     0.870096
      485375.     -1.47389     0.783584
      485404.   -0.0141200     0.796341
      485431.     0.684950     0.744802
      485458.    -0.263540     0.753521
      485485.     0.776190     0.704928
      485540.      1.54481     0.725655
      485566.      1.52682     0.689798
      485592.      1.40916     0.786049
      485620.     0.695910     0.688014
      485646.     0.933940     0.746822
      485672.      1.12480     0.743811
      485702.     0.233580     0.773222
      485728.     -2.01283     0.665971
      485754.    -0.595620     0.706307
      485780.     -3.66404     0.706703
      485805.     -1.50900     0.684736
      485831.     -2.70994     0.740252
      485858.    -0.825340     0.786528
      485885.    -0.331650     0.703024
      485912.      2.11587     0.860828
      485939.      2.21270     0.722229
      485966.      1.39316     0.785166
      485992.      2.84182     0.719868
      486020.      1.64375     0.695969
      486046.    -0.496110     0.918744
      488602.    -0.139360     0.638667
      488629.     0.697220     0.597057
      488656.   -0.0528300     0.613465
      488682.     0.914030     0.561868
      488709.      1.05036     0.572991
      488735.     0.413250     0.649338
      488762.     0.322840     0.585683
      488789.      1.01747     0.619255
      488815.      1.48211     0.616970
      488842.    -0.380700     0.587500
      488870.    -0.670340     0.537073
      488897.    -0.764180     0.573377
      488923.    0.0758100     0.681120
      488949.     -1.15517     0.615324
      488977.    -0.461320     0.597768
      489008.    -0.108180     0.636835
      489035.     -1.40449     0.535133
      489064.    -0.865970     0.567601
      489091.    -0.372020     0.601730
      489118.     -1.13694     0.583631
      489144.     0.566480     0.561762
      489171.      1.25465     0.598967
      489198.     0.236130     0.566995
      489224.   -0.0955300     0.586959
      489251.      1.12549     0.552405
      489279.   -0.0187800     0.549931
      489308.      1.32057     0.591476
      489335.     0.968280     0.554510
      489361.     0.155930     0.532584
      489389.     0.433280     0.549193
      489415.    0.0709800     0.631125
      489443.    -0.748490     0.570053
      489469.    -0.379490     0.573056
      489496.    -0.653810     0.577561
      489549.     -2.25506     0.590509
      489578.     -2.05500     0.688298
      489608.     -4.16382      1.34370
      489635.    -0.413880     0.597361
      489661.     -1.51888     0.547968
      489687.    -0.832840     0.572466
      489713.   -0.0231400     0.568010
      489740.     0.995670     0.569229
      489766.     0.719760     0.535611
      489792.     0.252130     0.723984
      489842.      2.74122     0.583592
      489869.     0.671140     0.653908
      489896.    -0.457560     0.664754
      489923.     -2.29807     0.719879
      489949.     -2.07546     0.533613
      489976.     -3.43500     0.537407
      490030.     -2.21505     0.579006
